0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.830951691,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.242640495,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.164413929,5.385164738,6.480740547,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.164413929,4.79583168,6.324555397,4.582575798,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.082762718,4,6.403124332,4.690415859,4.242640495,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4.582575798,6.164413929,4.898979664,5,4.79583168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.164413929,3.741657495,6.244997978,4.898979664,4.472136021,4,4.582575798,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.79583168,6.324555397,5.385164738,6.708203793,6.63324976,6.557438374,6.403124332,6.324555397,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.872983456,5.830951691,4.472136021,6,6,6.082762718,5.916079998,5.830951691,3.872983456,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.164413929,4,6.324555397,5.099019527,3.605551243,4.123105526,4.79583168,3.31662488,6.557438374,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.557438374,4.79583168,6.63324976,4.898979664,4.690415859,4.242640495,4.242640495,4.582575798,6.708203793,6.403124332,4.472136021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.164413929,4.690415859,6.244997978,5,4.358899117,3.872983456,4.582575798,4.690415859,6.63324976,6.164413929,4.242640495,4.582575798,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.164413929,5.385164738,6.244997978,4.898979664,4.690415859,4.898979664,5,4.898979664,6.480740547,5.916079998,4.472136021,4.79583168,4.79583168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4.358899117,6.164413929,5.19615221,4.358899117,3.741657495,4,4.242640495,6.324555397,5.916079998,3.872983456,4.242640495,4.123105526,3.872983456,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.916079998,4.472136021,6.082762718,4.898979664,4.358899117,3.605551243,3.872983456,4.472136021,6.244997978,5.567764282,4.242640495,4.358899117,3.741657495,4.79583168,3.464101553,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
