Culvert,lat,long,Type
Wise Canal,38.925088,-121.084837,Bridge over Creek
Rock Creek,38.945253,-121.098159,Culvert
S Fork Dry,38.965962,-121.104319,Bridge over Creek
N Fork Dry,38.985028,-121.109574,Bridge over Creek
Bear Creek,39.011787,-121.104409,Bridge over Creek
S Wolf Crk,39.062288,-121.088673,Bridge over Creek
