Pop,Locus,DF,ChiSq,Prob,Signif
K1,AHTh171coy,15,18.000,0.263,ns
K1,CPH11coy,3,6.000,0.112,ns
K1,CPH18,6,8.167,0.226,ns
K1,CXX_468,10,12.000,0.285,ns
K1,CXX_602coy,21,20.160,0.511,ns
K1,REN54P11,36,36.000,0.469,ns
K1,AHT137,15,30.000,0.012,*
K1,AHT142,10,12.667,0.243,ns
K1,CXX_279,36,34.000,0.564,ns
K1,CXX_374,10,12.333,0.263,ns
K1,INU055,15,12.167,0.666,ns
K1,REN162C04,10,8.560,0.574,ns
K1,REN169O18coyote,15,24.667,0.055,ns
