Pop,Locus,DF,ChiSq,Prob,Signif
K2,AHTh171coy,15,14.286,0.504,ns
K2,CPH11coy,10,11.111,0.349,ns
K2,CPH18,15,18.469,0.239,ns
K2,CXX_468,10,10.800,0.373,ns
K2,CXX_602coy,15,14.400,0.495,ns
K2,REN54P11,6,8.449,0.207,ns
K2,AHT137,10,8.853,0.546,ns
K2,AHT142,15,14.667,0.476,ns
K2,CXX_279,6,5.841,0.441,ns
K2,CXX_374,3,3.113,0.374,ns
K2,INU055,6,5.360,0.499,ns
K2,REN162C04,10,16.000,0.100,ns
K2,REN169O18coyote,15,15.750,0.399,ns
