ID	pop1	pop2
F16-190	0.9923	0.0077
F16-207	0.9913	0.0087
F16-205	0.991	0.009
F16-085	0.9904	0.0096
F16-142	0.9889	0.0111
F16-289	0.9886	0.0114
F16-316b	0.5958	0.4042
F16-250	0.1989	0.8011
F16-110	0.0508	0.9492
F16-254b	0.0385	0.9615
F16-226	0.022	0.978
F16-103	0.0185	0.9815
F16-097	0.0126	0.9874
F16-062	0.0094	0.9906
