Pop,Value,Zygosity,SE
K2,0.777,Ho,0.042
K1,0.641,Ho,0.07
Total_str,0.707,Ho,0.042
K2,0.707,He,0.016
K1,0.762,He,0.027
Total_str,0.734,He,0.016
