Sample	AHTh171coy	AHTh171coy.2	CPH11coy	CPH11coy.2	CPH18	CPH18.2	CXX-468	CXX-468.2	CXX-602coy	CXX-602coy.2	K9-AMELO-Coy	K9-AMELO-Coy.2	REN54P11	REN54P11.2	AHT137	AHT137.2	AHT142	AHT142.2	CXX-279	CXX-279.2	CXX-374	CXX-374.2	INU055	INU055.2	REN162C04	REN162C04.2	REN169O18coyote	REN169O18coyote.2	Lat	Long
F16-062	176	176	162	162	170	172	74	76	146	164	182	216	202	202	142	148	142	148	100	102	106	106	208	216	176	176	322	326	38.90921	-121.0956
F16-101	176	176	162	162	170	172	74	76	146	164	182	216	202	202	142	148	142	148	100	102	106	106	208	216	176	176	322	322	38.90086	-121.08896
F16-110	172	176	154	162	170	176	76	80	144	156	182	216	204	206	146	148	134	140	100	102	104	108	212	216	174	178	322	326	38.94725	-121.29358
F16-142	178	178	152	158	176	176	82	88	142	148	182	216	196	204	144	144	130	140	86	102	104	104	210	212	170	172	318	318	38.995444	-121.05325
F16-250	178	182	164	170	190	192	76	80	144	146	216	216	200	204	142	146	124	134	98	102	106	108	210	216	174	178	322	322	39.3175	-120.78008
F16-253	178	182	164	170	190	192	76	80	144	146	216	216	200	204	142	146	124	134	98	102	106	108	210	216	174	178	322	322	39.32547	-120.75457
F16-289	162	174	168	168	168	168	74	74	130	130	216	216	206	218	126	140	132	134	94	102	124	126	216	222	176	184	320	320	39.08134698	-121.002309
F16-314	174	174	154	156	170	176	76	82	144	164	216	216	200	206	146	152	124	142	102	104	104	106	208	212	170	174	314	318	39.26309899	-121.065675
F16-316b	174	176	154	156	170	176	76	82	144	164	216	216	200	206	146	152	124	142	102	104	104	106	208	212	170	174	314	320	39.25991597	-121.078423
F16-097	176	176	-99	-99	170	172	74	76	146	164	216	216	202	202	142	148	142	148	100	102	106	106	208	216	176	176	322	328	38.90111	-121.08691
F16-205	160	170	-99	-99	176	178	92	94	120	130	216	216	210	212	128	138	128	132	98	102	120	122	216	220	176	176	330	330	38.99187	-121.0777
F16-207	162	170	168	168	168	168	-99	-99	134	134	216	216	202	216	132	132	132	132	98	104	122	126	222	222	176	184	316	316	38.99653	-121.08658
F16-254b	176	182	-99	-99	170	180	78	80	138	146	182	216	204	206	146	150	134	134	98	102	104	108	208	216	174	178	316	322	39.3258	-120.75483
F16-257	176	182	-99	-99	170	180	78	80	138	146	182	216	204	206	146	150	134	134	98	102	104	108	208	216	174	178	316	322	39.3284	-120.76036
