Pop,Locus,DF,ChiSq,Prob,Signif
W,AHTh171coy,10,12.667,0.243,ns
W,CPH11coy,3,2.333,0.506,ns
W,CPH18,10,10.889,0.366,ns
W,CXX_468,10,10.000,0.440,ns
W,CXX_602coy,21,21.000,0.459,ns
W,REN54P11,15,18.667,0.229,ns
W,AHT137,28,36.120,0.140,ns
W,AHT142,21,22.556,0.368,ns
W,CXX_279,21,31.920,0.060,ns
W,CXX_374,15,20.143,0.167,ns
W,INU055,10,8.750,0.556,ns
W,REN162C04,10,10.080,0.434,ns
W,REN169O18coyote,15,15.470,0.418,ns
