ID	pop1	pop2	pop3
F16-062	0.0532	0.005	0.9418
F16-110	0.0661	0.0056	0.9283
F16-142	0.8536	0.0903	0.0561
F16-250	0.0702	0.0071	0.9227
F16-289	0.0948	0.8974	0.0078
F16-316b	0.1899	0.0274	0.7827
F16-097	0.0535	0.0055	0.941
F16-205	0.1547	0.8347	0.0106
F16-207	0.0942	0.9005	0.0053
F16-254b	0.055	0.0072	0.9378
F16-085	0.223	0.7574	0.0196
F16-103	0.0553	0.007	0.9377
F16-190	0.3519	0.6274	0.0207
F16-226	0.0556	0.0043	0.9401
F16-065	0.1032	0.8842	0.0126
