ID	pop1	pop2
F16-207	0.9945	0.0055
F16-190	0.994	0.006
F16-289	0.9927	0.0073
F16-205	0.9926	0.0074
F16-085	0.9899	0.0101
F16-065	0.9892	0.0108
F16-142	0.0999	0.9001
F16-316b	0.0136	0.9864
F16-254b	0.0077	0.9923
F16-103	0.0071	0.9929
F16-097	0.0062	0.9938
F16-062	0.006	0.994
F16-250	0.006	0.994
F16-110	0.0049	0.9951
F16-226	0.0048	0.9952
