Pop,Locus,DF,ChiSq,Prob,Signif
E,AHTh171coy,28,29.944,0.366,ns
E,CPH11coy,10,16.000,0.100,ns
E,CPH18,21,29.556,0.101,ns
E,CXX_468,28,36.000,0.143,ns
E,CXX_602coy,36,39.278,0.325,ns
E,REN54P11,36,31.889,0.665,ns
E,AHT137,36,49.000,0.073,ns
E,AHT142,15,18.278,0.248,ns
E,CXX_279,15,8.750,0.890,ns
E,CXX_374,21,23.380,0.324,ns
E,INU055,15,11.278,0.733,ns
E,REN162C04,15,29.750,0.013,*
E,REN169O18coyote,10,18.667,0.045,*
