"Sample","Sp_call1"
"006","Cy"
"011","Cy"
"018","Cy"
"021","Cy"
"025","Cy"
"027","Cy"
"028","Cy"
"034","Cy"
"065","Cy"
"085","Cy"
"097","Cy"
"098","Cy"
"099","Cy"
"103","Cy"
"108","Cy"
"109","Cy"
"110","Cy"
"114","Cy"
"116","Cy"
"137","Cy"
"142","Cy"
"143","Cy"
"145","Cy"
"179","Cy"
"189","Cy"
"190","Cy"
"192","Cy"
"205","Cy"
"207","Cy"
"221","Cy"
"223","Cy"
"225","Cy"
"228","Cy"
"246","Cy"
