matchGroup,nMatchGroup,focalIndex,comparisonIndex,matchThreshold,score,AHTh171coy,AHTh171coy.2,CPH11coy,CPH11coy.2,CPH18,CPH18.2,CXX.468,CXX.468.2,CXX.602coy,CXX.602coy.2,K9.AMELO.Coy,K9.AMELO.Coy.2,REN54P11,REN54P11.2,AHT137,AHT137.2,AHT142,AHT142.2,CXX.279,CXX.279.2,CXX.374,CXX.374.2,INU055,INU055.2,REN162C04,REN162C04.2,REN169O18coyote,REN169O18coyote.2,Lat,Long
7,1,F16-289,F16-289,0.833333333,1,162,174,168,168,168,168,74,74,130,130,216,216,206,218,126,140,132,134,94,102,124,126,216,222,176,184,320,320,39.08135,-121.0023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,F16-314,F16-314,0.833333333,1,174,174,154,156,170,176,76,82,144,164,216,216,200,206,146,152,124,142,102,104,104,106,208,212,170,174,314,318,39.2631,-121.0657
8,2,F16-314,F16-316b,0.833333333,0.87,174,176,154,156,170,176,76,82,144,164,216,216,200,206,146,152,124,142,102,104,104,106,208,212,170,174,314,320,39.25992,-121.0784
9,2,F16-316b,F16-316b,0.833333333,1,174,176,154,156,170,176,76,82,144,164,216,216,200,206,146,152,124,142,102,104,104,106,208,212,170,174,314,320,39.25992,-121.0784
9,2,F16-316b,F16-314,0.833333333,0.87,174,174,154,156,170,176,76,82,144,164,216,216,200,206,146,152,124,142,102,104,104,106,208,212,170,174,314,318,39.2631,-121.0657
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,F16-205,F16-205,0.833333333,1,160,170,-99,-99,176,178,92,94,120,130,216,216,210,212,128,138,128,132,98,102,120,122,216,220,176,176,330,330,38.99187,-121.0777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,F16-207,F16-207,0.833333333,1,162,170,168,168,168,168,-99,-99,134,134,216,216,202,216,132,132,132,132,98,104,122,126,222,222,176,184,316,316,38.99653,-121.0866
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,F16-254b,F16-254b,0.833333333,1,176,182,-99,-99,170,180,78,80,138,146,182,216,204,206,146,150,134,134,98,102,104,108,208,216,174,178,316,322,39.3258,-120.7548
13,2,F16-254b,F16-257,0.833333333,0.93,176,182,-99,-99,170,180,78,80,138,146,182,216,204,206,146,150,134,134,98,102,104,108,208,216,174,178,316,322,39.3284,-120.7604
14,2,F16-257,F16-257,0.833333333,1,176,182,-99,-99,170,180,78,80,138,146,182,216,204,206,146,150,134,134,98,102,104,108,208,216,174,178,316,322,39.3284,-120.7604
14,2,F16-257,F16-254b,0.833333333,0.93,176,182,-99,-99,170,180,78,80,138,146,182,216,204,206,146,150,134,134,98,102,104,108,208,216,174,178,316,322,39.3258,-120.7548
