"matchGroup","nMatchGroup","focalIndex","comparisonIndex","matchThreshold","score","CXX.402","CXX.402.2","AHT.142","AHT.142.2","REN105L03","REN105L03.2","CPH18","CPH18.2","CPH8","CPH8.2","REN54P11","REN54P11.2","RF2001Fam","RF2001Fam.2","RFcph.2.2","RFcph.2","fh2088","fh2088.2","REN162C04","REN162C04.2","AHTh171","AHTh171.2","INU055","INU055.2","fh2010","fh2010.2","fh2004","fh2004.2"
"20","3","F16-146","F16-151","0.928571428571429","1","78","78","130","134","160","164","178","178","174","174","204","206","220","224","84","84","104","108","176","176","158","172","220","220","222","222","242","260"
"21","3","F16-148","F16-146","0.928571428571429","1","78","78","130","134","160","164","178","178","174","174","204","206","220","224","84","84","104","108","176","176","158","172","220","220","222","222","242","260"
"21","3","F16-148","F16-148","0.928571428571429","1","78","78","130","134","160","164","178","178","174","174","204","206","220","224","84","84","104","108","176","176","158","172","220","220","222","222","242","260"
"21","3","F16-148","F16-151","0.928571428571429","1","78","78","130","134","160","164","178","178","174","174","204","206","220","224","84","84","104","108","176","176","158","172","220","220","222","222","242","260"
"22","3","F16-151","F16-146","0.928571428571429","1","78","78","130","134","160","164","178","178","174","174","204","206","220","224","84","84","104","108","176","176","158","172","220","220","222","222","242","260"
"22","3","F16-151","F16-148","0.928571428571429","1","78","78","130","134","160","164","178","178","174","174","204","206","220","224","84","84","104","108","176","176","158","172","220","220","222","222","242","260"
"22","3","F16-151","F16-151","0.928571428571429","1","78","78","130","134","160","164","178","178","174","174","204","206","220","224","84","84","104","108","176","176","158","172","220","220","222","222","242","260"
"23","2","F16-152","F16-152","0.928571428571429","1","78","78","124","132","162","162","168","176","174","174","210","218","220","220","84","84","104","108","174","176","170","172","212","218","218","218","246","246"
"23","2","F16-152","F16-153","0.928571428571429","1","78","78","124","132","162","162","168","176","174","174","210","218","220","220","84","84","104","108","174","176","170","172","212","218","218","218","246","246"
"24","2","F16-153","F16-152","0.928571428571429","1","78","78","124","132","162","162","168","176","174","174","210","218","220","220","84","84","104","108","174","176","170","172","212","218","218","218","246","246"
"24","2","F16-153","F16-153","0.928571428571429","1","78","78","124","132","162","162","168","176","174","174","210","218","220","220","84","84","104","108","174","176","170","172","212","218","218","218","246","246"
"25","2","F16-166","F16-166","0.928571428571429","1","78","78","132","132","154","154","164","168","174","174","206","206","220","220","84","84","104","104","176","176","158","160","212","212","218","222","242","260"
"25","2","F16-166","F16-167","0.928571428571429","1","78","78","132","132","154","154","164","168","174","174","206","206","220","220","84","84","104","104","176","176","158","160","212","212","218","222","242","260"
"26","2","F16-167","F16-166","0.928571428571429","1","78","78","132","132","154","154","164","168","174","174","206","206","220","220","84","84","104","104","176","176","158","160","212","212","218","222","242","260"
"26","2","F16-167","F16-167","0.928571428571429","1","78","78","132","132","154","154","164","168","174","174","206","206","220","220","84","84","104","104","176","176","158","160","212","212","218","222","242","260"
"27","1","F16-171","F16-171","0.928571428571429","1","78","78","132","140","150","154","168","178","172","174","206","210","216","216","86","86","104","104","174","190","172","172","216","222","218","222","260","260"
"28","1","F16-177","F16-177","0.928571428571429","1","78","78","128","132","164","166","172","178","174","174","204","210","220","226","76","84","108","108","176","176","158","158","210","220","222","226","260","260"
"29","1","F16-184","F16-184","0.928571428571429","1","78","80","124","132","154","160","178","180","174","174","204","216","216","220","84","84","104","108","176","176","170","174","210","222","218","222","260","260"
"30","1","F16-188","F16-188","0.928571428571429","1","78","78","132","132","150","162","168","178","174","174","214","218","220","220","76","84","104","108","174","176","170","170","220","222","218","222","246","260"
"31","1","F16-196","F16-196","0.928571428571429","1","78","78","126","130","160","168","168","178","174","174","214","218","220","220","84","84","104","108","174","176","170","172","210","222","222","226","242","262"
"32","1","F16-197","F16-197","0.928571428571429","1","78","78","128","132","154","160","168","172","174","174","206","210","220","220","84","84","104","108","176","176","172","174","220","222","222","226","260","260"
"33","2","F16-212","F16-212","0.928571428571429","1","80","80","130","132","160","166","168","178","178","184","206","214","216","220","84","84","104","112","170","190","158","162","218","222","218","226","242","260"
"33","2","F16-212","F16-215b","0.928571428571429","0.93","78","78","130","132","160","166","168","178","178","184","206","214","216","220","84","84","104","112","170","190","158","162","218","222","218","226","242","260"
"34","2","F16-215b","F16-215b","0.928571428571429","1","78","78","130","132","160","166","168","178","178","184","206","214","216","220","84","84","104","112","170","190","158","162","218","222","218","226","242","260"
"34","2","F16-215b","F16-212","0.928571428571429","0.93","80","80","130","132","160","166","168","178","178","184","206","214","216","220","84","84","104","112","170","190","158","162","218","222","218","226","242","260"
"35","1","F16-219","F16-219","0.928571428571429","1","78","78","124","132","162","162","168","176","174","174","210","218","220","220","84","84","104","108","174","176","170","172","220","220","222","222","242","260"
"36","1","F16-220","F16-220","0.928571428571429","1","78","80","124","132","162","164","178","178","174","174","216","218","216","220","84","84","104","108","176","184","160","170","210","222","218","222","246","260"
"37","1","F16-224","F16-224","0.928571428571429","1","78","78","124","132","164","166","170","180","174","174","208","214","216","220","84","84","100","108","176","176","158","158","220","222","222","226","246","260"
"38","3","F16-227","F16-227","0.928571428571429","1","78","78","124","132","160","160","172","176","174","174","208","212","220","220","84","84","104","108","174","190","160","170","222","222","218","222","242","260"
"38","3","F16-227","F16-232","0.928571428571429","1","78","78","124","132","160","160","172","176","174","174","208","212","220","220","84","84","104","108","174","190","160","170","222","222","218","222","242","260"
"38","3","F16-227","F16-234","0.928571428571429","1","78","78","124","132","160","160","172","176","174","174","208","212","220","220","84","84","104","108","174","190","160","170","222","222","218","222","242","260"
